id,date,tweet,retweet_count,like_count
1351255124908388354,2021-01-18 19:48:21+00:00,"Przedsiębiorcy otwierają swoje biznesy #otwieraMY #otwieramysie następny krok to zrzucenie kagańców. Pokażmy pisowcom gdzie mamy tę ich srandemię. Ściągamy namordniki!

#COVID19 #Covid #Pfizer #Szczepienia #szczepionka #SzczepimySię #zajob #Plandemia",7,16
1351252726844424193,2021-01-18 19:38:49+00:00,"Moderna nie wypr przed szczepionka ZANDEGO produktu leczniczego, mimo to dostala dotacje 600 mln i bedzie testowac 4 faze szczepionki na POLAKACH - a zydowski antypolski NIErzad #pis na to pozwala #suski #brzeczek #wtylewziji #szczepimysie #moderna #szepionka #lockdown #covid",13,25
1351250438679638016,2021-01-18 19:29:44+00:00,"W związku ze zgonem 30 seniorów w Norwegii, należy nie tylko natychmiast zaprzestać #Szczepienia należy również wprowadzić prokuratora do firmy #Pfizer i postawić im zarzut masowego ludobójstwa. Dość tego!

#COVID19 #Covid #zajob #Plandemia #SzczepimySię #PfizerVaccine",1,1
1351220551046623237,2021-01-18 17:30:58+00:00,"#SzczepimySię
NIE SZCZEPIE SIĘ, BO:
1. CHCĘ ŻYĆ!!!!
2. CHCĘ BYĆ ZDROWY!!!
3. CHCĘ ZACHOWAĆ PŁODNOŚĆ!!!
4. CHOROWAŁEM NA GRYPĘ I MAM ODPORNOŚĆ NA COVID!!!
5. NIE WEZMĘ NIEPRZEBADANEJ SZCZEPIONKI.!!!!",0,0
1351220132073402376,2021-01-18 17:29:18+00:00,"#SzczepimySię
NIE SZCZEPIE SIĘ, BO:
1. CHCĘ ŻYĆ!!!!
2. CHCĘ BYĆ ZDROWY!!!
3. CHCĘ ZACHOWAĆ PŁODNOŚĆ!!!
4. CHOROWAŁEM NA GRYPĘ I MAM ODPORNOŚĆ NA COVID!!!
5. NIE WEZMĘ NIEPRZEBADANEJ SZCZEPIONKI.!!!",0,0
1351215882173902849,2021-01-18 17:12:25+00:00,"No, to szczepienie poszło pomyślnie!

Mam nadzieję, że do następnej dawki nie będzie trzeba z kotami iść do weterynarza.

A na COVID to pewnie jeszcze trochę poczekam 😃
#SzczepimySię, ale zgodnie z kolejką!",0,13
1351190851003822082,2021-01-18 15:32:57+00:00,"4️⃣7️⃣5️⃣2️⃣6️⃣4️⃣ osób zostało zaszczepionych przeciwko COVID-19.
#SzczepimySię",19,67
1351188614412173325,2021-01-18 15:24:04+00:00,"Minister @michaldworczyk w #KPRM: 431 782 seniorów powyżej 80 r.ż. zarejestrowało się już na szczepienie przeciwko COVID-19. Od 22 stycznia do rejestracji będą mogli dołączyć seniorzy powyżej 70 r.ż.
#SzczepimySię",16,31
1351097753577914384,2021-01-18 09:23:01+00:00,"#COVID19 #szczepimysie ""Witamy,
W zwiazku z wstrzymaniem dostawy szczepionki, Panstwa szczepienie przeciwko covid-19 jest odwolane. Wszelkie informacje dotyczace wznowienia szczepien uzyskaja Panstwo na stronie internetowej Szpitala Brodnowskiego
Mazowiecki Szpital Brodnowski""",0,0
1351081984559345664,2021-01-18 08:20:21+00:00,"Dzisiaj, po 4 tyg oczekiwania miałem zostać zaszczepiony przeciwko COVID-19. Niestety, szczepienie odwołano i nikt nie jest w stanie odpowiedzieć, kiedy się go doczekam. Bałaganu, ciąg dalszy...
@a_niedzielski Jakies konkrety? Medycy chcą się szczepić... #szczepimysie #COVID19",0,2
